[46.02,3.307]
[46.02,3.338]
[46.06,3.308]
[46.06,3.321]
[46.07,3.304]
[46.1,3.253]
[46.1,3.253]
[46.1,3.356]
[46.13,3.359]
[46.13,3.282]
[46.13,3.359]
[46.16,3.317]
[46.19,3.23]
[46.24,3.326]
[46.24,3.303]
[46.27,3.332]
[46.27,3.504]
[46.3,3.284]
[46.3,3.253]
[46.3,3.409]
[46.33,3.211]
[46.33,3.253]
[46.36,3.245]
[46.36,3.363]
[46.37,3.226]
[46.37,3.253]
[46.4,3.254]
[46.4,3.237]
[46.4,3.255]
[46.4,3.46]
[46.44,3.278]
[46.44,3.156]
[46.46,3.148]
[46.47,3.127]
[46.47,3.156]
[46.49,3.15]
[46.53,3.247]
[46.6,3.205]
[46.6,3.227]
[46.63,3.196]
[46.63,3.243]
[46.63,3.243]
[46.63,3.141]
[46.66,3.135]
[46.69,3.192]
[46.69,3.162]
[46.7,3.148]
[46.72,3.173]
[46.74,3.1]
[46.77,3.135]
[46.77,3.218]
[46.77,3.126]
[46.77,3.153]
[46.79,3.084]
[46.8,3.135]
[46.85,3.141]
[46.85,3.142]
[46.9,3.376]
[46.92,3.098]
[46.92,3.11]
[46.92,3.174]
[46.93,3.182]
[46.93,3.183]
[46.95,3.015]
[46.95,3.126]
[46.98,2.851]
[46.98,3.091]
[46.98,3.161]
[47.02,3.08]
[47.02,2.879]
[47.02,3.127]
[47.03,3.139]
[47.09,2.851]
[47.09,2.89]
[47.09,2.891]
[47.09,2.891]
[47.12,2.845]
[47.14,3.015]
[47.15,2.872]
[47.15,2.91]
[47.26,2.977]
[47.26,2.885]
[47.27,2.918]
[47.29,2.973]
[47.29,2.897]
[47.29,2.821]
[47.29,2.898]
[47.29,2.977]
[47.32,2.924]
[47.32,2.848]
[47.39,2.735]
[47.39,2.856]
[47.41,2.797]
[47.41,2.615]
[47.42,2.887]
[47.46,2.561]
[47.46,2.661]
[47.49,2.449]
[47.52,2.402]
[47.52,2.569]
[47.52,3.023]
[47.52,2.556]
[47.52,2.541]
[47.55,2.465]
[47.58,2.367]
[47.58,2.534]
[47.58,2.495]
[47.6,2.24]
[47.6,2.371]
[47.6,2.367]
[47.63,2.17]
[47.63,2.238]
[47.63,2.393]
[47.67,1.997]
[47.68,2.346]
[47.7,1.809]
[47.7,1.903]
[47.7,1.881]
[47.71,2.469]
[47.71,2.023]
[47.71,2.112]
[47.71,2.055]
[47.74,1.869]
[47.78,1.6]
[47.78,1.627]
[47.78,1.86]
[47.8,1.21]
[47.8,1.505]
[47.8,1.29]
[47.8,1.044]
[47.81,1.55]
[47.81,1.134]
[47.81,1.29]
[47.84,1.049]
[47.84,0.892]
[47.84,0.726]
[47.84,0.873]
[47.84,0.756]
[47.86,0.941]
[47.87,0.35]
[47.87,0.684]
[47.91,0.153]
[47.93,0.12]
[47.94,0.245]
[47.95,0.136]
[48.0,0.11]
[48.08,0.08]
[48.21,0.09]
[48.21,0.093]
[48.26,0.083]
[48.36,0.084]
[48.38,0.092]
[48.44,0.084]
[48.45,0.093]
[48.63,0.082]
[48.69,0.098]
[48.76,0.083]
[48.9,0.134]
[49.0,0.092]
[49.02,0.088]
[49.03,0.092]
[49.09,0.13]
[49.16,0.101]
[49.66,0.105]
[49.75,0.101]
[49.88,0.303]
[49.99,0.105]
[50.02,0.089]
[50.07,0.135]
[50.07,0.109]
[50.25,0.089]
[50.28,0.082]
[50.3,0.084]
[50.31,0.1]
[50.52,0.088]
[50.53,0.088]
[50.81,0.094]
[50.82,0.094]
[50.89,0.102]
[51.28,0.093]
[51.35,0.099]
[51.38,0.098]
[51.39,0.088]
[51.47,0.108]
[51.54,0.126]
[51.82,0.095]
[51.94,0.104]
[51.95,0.096]
[52.23,0.147]
[52.23,0.085]
[52.3,0.103]
[52.32,0.29]
[52.45,0.102]
[52.72,0.084]
[52.89,0.159]
[53.01,0.082]
[53.17,0.083]
[53.27,0.088]
[53.29,0.087]
[53.46,0.085]
[53.51,0.086]
[53.63,0.085]
[53.73,0.089]
[53.79,0.111]
[53.91,0.094]
[53.94,0.135]
[54.02,0.085]
[54.18,0.094]
[54.58,0.086]
[54.64,0.086]
[54.84,0.095]
[54.95,0.095]
[55.16,0.092]
[55.16,0.098]
[55.22,0.104]
[55.56,0.079]
[55.68,0.085]
[55.71,0.086]
[55.73,0.085]
[55.81,0.095]
[55.89,0.091]
[56.01,0.283]
[56.06,0.092]
[56.34,0.109]
[56.64,0.081]
[56.72,0.086]
[56.73,0.289]
[57.04,0.784]
[57.1,0.126]
[57.24,0.096]
[57.26,1.096]
[57.5,0.082]
[57.55,0.302]
[57.91,0.101]
[58.24,0.1]
[58.28,0.311]
[58.45,0.082]
[58.81,0.081]
[59.19,0.085]
[59.54,0.087]
[59.6,0.107]
[59.67,0.317]
[60.34,0.293]
[60.35,0.105]
[60.49,1.153]
[61.13,0.082]
[61.2,0.097]
[61.41,0.136]
[61.41,0.087]
[61.44,0.106]
[61.45,0.083]
[61.54,0.091]
[61.7,0.085]
[61.74,0.106]
[61.76,0.086]
[61.77,0.116]
[61.92,0.094]
[61.97,0.104]
[62.24,0.082]
[62.34,0.091]
[62.35,0.084]
[62.42,0.096]
[62.81,0.125]
[63.0,0.105]
[63.12,0.086]
[63.22,0.082]
[63.34,0.086]
[63.35,0.11]
[63.48,0.092]
[63.55,0.167]
[63.74,0.094]
[63.96,0.103]
[63.96,0.112]
[63.98,0.096]
[64.0,0.089]
[64.18,0.13]
[64.3,0.082]
[64.61,0.079]
[64.75,0.129]
[64.86,0.093]
[65.23,0.122]
[65.47,0.079]
[65.64,0.109]
[65.68,0.131]
[65.92,0.107]
[65.94,0.109]
[66.05,0.105]
[66.22,0.087]
[66.5,0.094]
[66.65,0.112]
[66.75,0.119]
[66.86,0.11]
[67.02,0.1]
[67.07,0.088]
[67.29,0.156]
[67.42,0.202]
[67.47,0.105]
[67.75,0.096]
[67.89,0.09]
[67.96,0.078]
[68.29,60.077]
[68.45,0.086]
[68.53,0.089]
[68.62,0.103]
[68.63,0.118]
[68.64,0.099]
[68.83,0.085]
[68.86,0.086]
[69.02,0.097]
[69.03,0.089]
[69.08,0.086]
[69.2,0.08]
[69.31,0.08]
[69.68,0.085]
[69.7,0.095]
[69.85,0.087]
[69.91,0.296]
[70.08,0.293]
[70.14,0.089]
[70.38,0.099]
[70.41,0.085]
[70.42,0.089]
[70.64,0.091]
[70.8,0.083]
[70.91,0.081]
[71.26,0.088]
[71.31,0.102]
[71.48,0.104]
[71.52,0.084]
[71.55,0.083]
[72.02,0.087]
[72.54,0.081]
[72.83,0.083]
[73.18,0.098]
[73.18,0.084]
[73.94,0.083]
[74.04,0.088]
[74.53,0.377]
[74.6,0.406]
[74.65,0.111]
[75.02,0.097]
[75.06,0.086]
[75.17,0.102]
[75.21,0.092]
[75.64,0.089]
[76.17,0.094]
[76.53,0.09]
[76.53,0.092]
[76.58,0.087]
[76.62,0.092]
[76.67,0.104]
[76.99,0.122]
[77.11,0.109]
[77.27,0.083]
[77.58,0.081]
[77.71,0.08]
[77.98,0.12]
[77.98,0.082]
[78.22,0.087]
[78.56,0.101]
[78.63,0.108]
[78.64,0.114]
[78.65,0.107]
[78.92,0.087]
[79.16,0.102]
[79.28,0.086]
[79.3,0.085]
[79.56,0.083]
[79.6,0.104]
[80.0,0.106]
[80.25,0.311]
[80.36,0.083]
[80.49,0.085]
[80.52,0.096]
[80.54,0.107]
[80.64,0.089]
[80.73,0.086]
[80.83,0.085]
[80.93,0.083]
[80.93,0.098]
[81.01,0.081]
[81.11,0.081]
[81.33,0.108]
[81.39,0.107]
[81.68,0.105]
[81.73,0.089]
[81.77,0.088]
[82.09,0.102]
[82.28,0.089]
[82.4,0.124]
[82.49,0.106]
[82.58,0.092]
[82.61,0.09]
[82.72,0.085]
[82.77,0.091]
[82.98,0.098]
[82.99,0.094]
[83.14,0.126]
[83.34,0.082]
[83.38,0.086]
[83.6,0.091]
[83.64,0.122]
[83.95,0.084]
[84.06,0.097]
[84.09,0.098]
[84.16,0.087]
[84.25,0.111]
[84.32,0.081]
[84.34,0.111]
[84.39,0.119]
[84.54,0.124]
[84.62,0.082]
[84.92,0.081]
[85.08,0.082]
[85.09,0.093]
[85.1,0.087]
[85.19,0.078]
[85.27,0.089]
[85.67,0.092]
[85.74,0.092]
[85.85,0.097]
[85.95,0.103]
